재난,발생시간,지점정보
호우주의보,,동두천(98)
호우주의보,2020-07-29 07:50,기타
호우주의보,,광주(156)
호우경보,2020-07-29 08:10,기타
호우경보,,고창(172)
호우경보,2020-07-29 08:20,기타
호우경보,,기타
호우주의보,2020-07-29 09:10,기타
호우주의보,,광주(156)
호우주의보,2020-07-29 09:30,기타
호우주의보,,춘천(101)
호우주의보,2020-07-29 09:40,기타
호우주의보,,대전(133)
호우주의보,2020-07-29 11:00,기타
호우주의보,,영월(121)
호우주의보,2020-07-29 12:00,기타
호우주의보,,천안(232)
호우주의보,2020-07-29 12:10,기타
호우주의보,,순천(174)
호우주의보,2020-07-29 12:50,기타
호우주의보,,충주(127)
호우주의보,2020-07-29 14:00,기타
호우주의보,,대전(133)
호우주의보,2020-07-29 14:30,기타
호우주의보,,광주(156)
호우주의보,2020-07-29 15:10,기타
호우주의보,,보은(226)
호우주의보,2020-07-29 16:10,기타
호우주의보,,광주(156)
호우주의보,2020-07-29 17:00,기타
호우주의보,,군산(140)
호우주의보,2020-07-29 23:10,기타
호우주의보,,천안(232)
호우주의보,2020-07-29 23:50,기타
호우주의보,,천안(232)
호우주의보,2020-07-30 01:40,기타
호우주의보,,청주(131)
호우주의보,2020-07-30 03:10,기타
호우주의보,,대전(133)
호우주의보,2020-07-30 03:40,기타
호우주의보,,이천(203)
호우주의보,2020-07-30 04:10,기타
호우주의보,,대전(133)
호우경보,2020-07-30 04:20,기타
호우경보,,군산(140)
호우주의보,2020-07-30 05:40,기타
호우주의보,,원주(114)
호우주의보,2020-07-30 06:50,기타
호우주의보,,금산(238)
호우주의보,2020-07-30 07:15,기타
호우주의보,,의성(278)
호우경보,2020-07-30 07:50,기타
호우경보,,기타
호우주의보,2020-07-30 08:30,기타
호우주의보,,충주(127)
호우경보,2020-07-30 09:00,기타
호우경보,,기타
호우주의보,2020-07-30 09:20,기타
호우주의보,,고창(172)
호우주의보,2020-07-30 09:50,기타
호우주의보,,청주(131)
호우주의보,2020-07-30 11:00,기타
호우주의보,,군산(140)
호우주의보,2020-07-30 11:20,기타
호우주의보,,대전(133)
호우주의보,2020-07-30 12:00,기타
호우주의보,,전주(146)
호우주의보,2020-07-30 12:10,기타
호우주의보,,제주(184)
호우주의보,2020-07-30 13:00,기타
호우주의보,,안동(136)
호우주의보,2020-07-30 14:00,기타
호우주의보,,대구(143)
호우주의보,2020-07-30 14:10,기타
호우주의보,,기타
호우주의보,2020-07-30 14:50,기타
호우주의보,,기타
호우주의보,2020-07-30 15:30,기타
호우주의보,,제주(184)
호우주의보,2020-07-30 15:40,기타
호우주의보,,여수(168)
호우주의보,2020-07-30 16:00,기타
호우주의보,,속초(90)
호우경보,2020-07-30 19:00,기타
호우경보,,여수(168)
호우경보,2020-07-30 19:30,기타
호우경보,,남해(295)
호우주의보,2020-07-30 20:30,기타
호우주의보,,순천(174)
호우경보,2020-07-30 21:00,기타
호우경보,,여수(168)
호우주의보,2020-07-31 02:00,기타
호우주의보,,금산(238)
호우주의보,2020-07-31 04:30,기타
호우주의보,,군산(140)
호우주의보,2020-07-31 05:20,기타
호우주의보,,남원(247)
호우주의보,2020-07-31 06:00,기타
호우주의보,,고창(172)
호우주의보,2020-07-31 06:30,기타
호우주의보,,기타
호우주의보,2020-07-31 08:30,기타
호우주의보,,고창(172)
호우주의보,2020-07-31 09:20,기타
호우주의보,,서산(129)
호우주의보,2020-07-31 11:00,기타
호우주의보,,안동(136)
호우주의보,2020-07-31 12:20,기타
호우주의보,,서산(129)
호우주의보,2020-07-31 17:50,기타
호우주의보,,대전(133)
호우경보,2020-07-31 18:20,기타
호우경보,,기타
호우주의보,2020-07-31 19:00,기타
호우주의보,,대전(133)
호우주의보,2020-07-31 21:35,기타
호우주의보,,인천(112)
호우주의보,2020-07-31 22:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-31 22:10,기타
호우주의보,,파주(99)
호우주의보,2020-07-31 23:30,기타
호우주의보,,서울(108)
호우주의보,2020-08-01 00:00,기타
호우주의보,,기타
호우주의보,2020-08-01 03:00,기타
호우주의보,,원주(114)
호우주의보,2020-08-01 05:00,기타
호우주의보,,기타
호우주의보,2020-08-01 04:40,기타
호우주의보,,원주(114)
호우주의보,2020-08-01 08:00,기타
호우주의보,,동두천(98)
호우주의보,2020-08-01 06:40,기타
호우주의보,,기타
호우주의보,2020-08-01 10:00,기타
호우주의보,,철원(95)
호우경보,2020-08-01 09:00,기타
호우경보,,파주(99)
호우주의보,2020-08-01 10:30,기타
호우주의보,,춘천(101)
호우주의보,2020-08-01 11:00,기타
호우주의보,,서울(108)
호우주의보,2020-08-01 12:00,기타
호우주의보,,군산(140)
호우주의보,2020-08-01 15:00,기타
호우주의보,,원주(114)
호우경보,2020-08-01 13:10,기타
호우경보,,서울(108)
호우주의보,2020-08-01 16:30,기타
호우주의보,,파주(99)
호우주의보,2020-08-01 17:30,기타
호우주의보,,군산(140)
호우주의보,2020-08-01 22:00,기타
호우주의보,,충주(127)
호우주의보,2020-08-01 23:00,기타
호우주의보,,영월(121)
호우경보,2020-08-02 01:00,기타
호우경보,,청주(131)
호우주의보,2020-08-02 01:50,기타
호우주의보,,부산(159)
호우경보,2020-08-02 02:10,기타
호우경보,,영월(121)
호우주의보,2020-08-02 02:50,기타
호우주의보,,문경(273)
호우경보,2020-08-02 03:10,기타
호우경보,,기타
호우경보,2020-08-02 03:40,기타
호우경보,,충주(127)
호우경보,2020-08-02 04:00,기타
호우경보,,부산(159)
호우주의보,2020-08-02 04:30,기타
호우주의보,,기타
호우주의보,2020-08-02 04:50,기타
호우주의보,,울진(130)
호우경보,2020-08-02 05:50,기타
호우경보,,기타
호우경보,2020-08-02 06:10,기타
호우경보,,영주(272)
호우경보,2020-08-02 06:40,기타
호우경보,,기타
호우경보,2020-08-02 07:40,기타
호우경보,,기타
호우주의보,2020-08-02 11:00,기타
호우주의보,,기타
호우경보,2020-08-02 14:00,기타
호우경보,,파주(99)
호우주의보,2020-08-02 15:00,기타
호우주의보,,철원(95)
호우주의보,2020-08-03 00:00,기타
호우주의보,,부산(159)
호우주의보,2020-08-03 06:00,기타
호우주의보,,울릉도(115)
호우경보,2020-08-03 08:00,기타
호우경보,,홍성(177)
호우주의보,2020-08-03 10:00,기타
호우주의보,,대전(133)
호우경보,2020-08-03 11:00,기타
호우경보,,인천(112)
호우경보,2020-08-03 13:00,기타
호우경보,,보령(235)
호우경보,2020-08-03 14:00,기타
호우경보,,부여(236)
호우주의보,2020-08-04 10:00,기타
호우주의보,,속초(90)
호우주의보,2020-08-04 12:30,기타
호우주의보,,강릉(105)
호우경보,2020-08-04 13:30,기타
호우경보,,속초(90)
호우주의보,2020-08-04 18:20,기타
호우주의보,,보은(226)
호우경보,2020-08-04 18:40,기타
호우경보,,대전(133)
호우주의보,2020-08-04 19:00,기타
호우주의보,,안동(136)
호우주의보,2020-08-05 09:00,기타
호우주의보,,제주(184)
호우주의보,2020-08-05 09:00,기타
호우주의보,,제주(184)
호우주의보,2020-08-05 10:20,기타
호우주의보,,광주(156)
호우주의보,2020-08-05 10:30,기타
호우주의보,,임실(244)
호우주의보,2020-08-05 11:30,기타
호우주의보,,기타
호우주의보,2020-08-05 12:00,기타
호우주의보,,전주(146)
호우주의보,2020-08-05 12:30,기타
호우주의보,,제주(184)
호우주의보,2020-08-05 12:40,기타
호우주의보,,부안(243)
호우주의보,2020-08-05 13:30,기타
호우주의보,,광주(156)
호우주의보,2020-08-05 16:00,기타
호우주의보,,울릉도(115)
호우주의보,2020-08-05 18:00,기타
호우주의보,,남원(247)
호우주의보,2020-08-05 20:30,기타
호우주의보,,제주(184)
호우주의보,2020-08-05 21:50,기타
호우주의보,,산청(289)
호우주의보,2020-08-06 02:00,기타
호우주의보,,기타
호우주의보,2020-08-06 02:20,기타
호우주의보,,합천(285)
호우주의보,2020-08-06 05:10,기타
호우주의보,,기타
호우주의보,2020-08-06 07:40,기타
호우주의보,,제주(184)
호우주의보,2020-08-06 09:15,기타
호우주의보,,장수(248)
호우경보,2020-08-06 10:05,기타
호우경보,,장수(248)
