시도,구군,행정구역명,수계,지류,세부단위유역 ,중권역,소권역,총인구(명),총면적,하수처리구역 내 물리적처리 공공하수처리인구,하수처리구역 내 생물학적적처리 공공하수처리인구,하수처리구역 내 고도처리 공공하수처리인구,하수처리구역 내 물리적처리 폐수처리인구,하수처리구역 내 생물학적적처리 폐수처리인구,하수처리구역 내 고도처리 폐수처리인구,미접속인구,하수처리구역 내 면적,하수처리구역 외 미처리인구,하수처리구역 외 오수처리인구,하수처리구역 외 정화조인구,하수처리구역 외 면적,공공하수처리구역 인구보급률,고도처리인구 보급률,하수도설치율
울산광역시,울주군,울주군,낙동강,형산강  태화강  밀양강  회야강  수영강  양산천  청량천  효암천,동해남부 동부경남,낙동강하구언 형산강 태화강 밀양강 회야강 수영강,양산천상류 운문댐 청량천 대암댐 밀양댐 회야댐 형산강상류 효암천 회야강 삼호수위표 사연댐 조동수위표,226575,758.377,0,0,220427,0,0,0,0,123.201,0,3000,3148,635.176,97.3,97.3,82.8
세종특별자치시,,조치원읍,금강,조천,미호천,미호천,조천 미호천하류,42931,13.688,0,0,42758,0,0,0,173,5.098,0,0,0,8.59,100.0,99.6,100.0
세종특별자치시,,연기면,금강,조천,미호천 금강하류,미호천 금강공주 대청댐하류,세종보 공주수위표 미호천합류전 미호천하류,2553,12.082,0,0,2239,0,0,0,10,0.672,0,131,173,11.41,88.1,87.7,60.3
세종특별자치시,,연동면,금강,조천,미호천 금강하류,미호천 대청댐하류,미호천합류전 미호천하류,3030,21.384,0,0,1192,0,0,0,8,0.366,0,746,1084,21.018,39.6,39.3,29.1
세종특별자치시,,부강면,금강,미호천,금강하류,대청댐하류,매포수위표 미호천합류전,5921,27.812,0,0,4764,0,0,0,5,1.129,0,580,572,26.683,80.5,80.5,77.9
세종특별자치시,,금남면,금강,조천,미호천 금강하류,미호천 금강공주 대청댐하류,세종보 용수천 조천 공주수위표 미호천합류전 미호천하류,8683,72.546,0,0,7432,0,0,0,13,1.73,0,537,701,70.816,85.7,85.6,68.3
세종특별자치시,,장군면,금강,대교천,미호천 금강하류,미호천 금강공주,공주보 조천 대교천 공주수위표 미호천하류,7110,53.262,0,0,6366,0,0,0,0,1.174,0,348,396,52.088,89.5,89.5,52.6
세종특별자치시,,연서면,금강,미호천,미호천,미호천,미호천하류,7151,54.562,0,0,6852,0,0,0,75,2.627,0,97,127,51.935,96.9,95.8,96.9
세종특별자치시,,전의면,금강,조천,미호천 삽교천,미호천 삽교천,조천 곡교천상류,5800,62.463,0,0,3925,0,0,0,83,0.936,0,784,1008,61.527,69.1,67.7,59.8
세종특별자치시,,전동면,금강,조천,미호천,미호천,조천,3406,57.733,0,0,2225,0,0,0,20,1.278,0,477,684,56.455,65.9,65.3,54.8
세종특별자치시,,소정면,금강,조천,미호천 삽교천,미호천 삽교천,조천 곡교천상류,2437,16.527,0,0,2437,0,0,0,0,0.748,0,0,0,15.779,100.0,100.0,100.0
세종특별자치시,,한솔동,금강,금강,금강하류,금강공주,세종보 대교천 공주수위표,18382,2.86,0,0,18382,0,0,0,0,2.86,0,0,0,0.0,100.0,100.0,100.0
세종특별자치시,,새롬동,금강,금강,금강하류,금강공주,세종보,26702,1.492,0,0,26702,0,0,0,0,1.492,0,0,0,0.0,100.0,100.0,100.0
세종특별자치시,,나성동,,,,,,13324,32.173,0,0,13324,0,0,0,0,1.924,0,0,0,30.249,100.0,100.0,0.0
세종특별자치시,,도담동,금강,금강,금강하류,금강공주,세종보,25474,2.029,0,0,25474,0,0,0,0,2.029,0,0,0,0.0,100.0,100.0,100.0
세종특별자치시,,어진동,,,,,,11269,2.655,0,0,11269,0,0,0,0,1.246,0,0,0,1.409,100.0,100.0,0.0
세종특별자치시,,해밀동,금강,금강,미호천 금강하류,미호천 금강공주,세종보 미호천하류,9546,8.412,0,0,9546,0,0,0,0,2.687,0,0,0,5.725,100.0,100.0,100.0
세종특별자치시,,아름동,금강,금강,금강하류,금강공주,세종보,23662,2.244,0,0,23662,0,0,0,0,1.359,0,0,0,0.885,100.0,100.0,100.0
세종특별자치시,,종촌동,금강,금강,금강하류,금강공주,세종보,28545,1.142,0,0,28545,0,0,0,0,0.946,0,0,0,0.196,100.0,100.0,100.0
세종특별자치시,,고운동,금강,금강,금강하류,금강공주,세종보,36363,5.362,0,0,36363,0,0,0,0,2.841,0,0,0,2.521,100.0,100.0,100.0
세종특별자치시,,소담동,금강,금강,금강하류,금강공주,세종보,22069,1.165,0,0,22069,0,0,0,0,1.021,0,0,0,0.144,100.0,100.0,100.0
세종특별자치시,,반곡동,금강,금강,금강하류,금강공주,세종보,28783,8.831,0,0,28783,0,0,0,0,4.711,0,0,0,4.12,100.0,100.0,100.0
세종특별자치시,,보람동,금강,금강,금강하류,금강공주,세종보 용수천,19094,1.334,0,0,19094,0,0,0,0,1.334,0,0,0,0.0,100.0,100.0,100.0
세종특별자치시,,대평동,금강,금강,금강하류,금강공주,공주수위표,11322,1.502,0,0,11322,0,0,0,0,1.184,0,0,0,0.318,100.0,100.0,100.0
세종특별자치시,,다정동,금강,금강,금강하류,금강공주,세종보,28754,1.702,0,0,28754,0,0,0,0,1.239,0,0,0,0.463,100.0,100.0,100.0
경기도,수원시,파장동,한강,황구지천,안성천,안성천,황구지천상류,25225,8.764,0,0,25140,0,0,0,0,1.456,0,85,0,7.308,99.7,99.7,87.1
경기도,수원시,율천동,한강,황구지천,안성천,안성천,황구지천상류,42518,3.022,0,0,42518,0,0,0,0,1.16,0,0,0,1.862,100.0,100.0,100.0
경기도,수원시,정자1동,한강,황구지천,안성천,안성천,황구지천상류,27789,3.177,0,0,27789,0,0,0,0,0.723,0,0,0,2.454,100.0,100.0,83.6
경기도,수원시,정자2동,한강,황구지천,안성천,안성천,황구지천상류,38198,1.25,0,0,38198,0,0,0,0,1.15,0,0,0,0.1,100.0,100.0,87.9
경기도,수원시,정자3동,한강,황구지천,안성천,안성천,황구지천상류,39850,1.96,0,0,39850,0,0,0,0,1.03,0,0,0,0.93,100.0,100.0,100.0
경기도,수원시,영화동,한강,황구지천,안성천,안성천,황구지천상류,20217,3.169,0,0,20217,0,0,0,0,1.131,0,0,0,2.038,100.0,100.0,100.0
경기도,수원시,송죽동,한강,황구지천,안성천,안성천,황구지천상류,18765,2.329,0,0,18765,0,0,0,0,0.771,0,0,0,1.558,100.0,100.0,80.2
경기도,수원시,조원1동,한강,황구지천,안성천,안성천,황구지천상류,28924,2.126,0,0,28895,0,0,0,0,1.174,0,29,0,0.952,99.9,99.9,82.7
경기도,수원시,조원2동,한강,황구지천,안성천,안성천,황구지천상류,17756,2.087,0,0,17756,0,0,0,0,0.413,0,0,0,1.674,100.0,100.0,75.5
경기도,수원시,연무동,한강,황구지천,안성천,안성천,황구지천상류,18403,11.5,0,0,17955,0,0,0,0,1.264,0,448,0,10.236,97.6,97.6,97.6
