시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도
충청북도,영서동,10001,10.82,86.8,99.4,98.9,924.3068391866913
충청북도,용두동,18685,15.469,90.2,98.9,98.7,1207.8996703083587
충청북도,신백동,10663,34.545,76.9,84.0,83.6,308.669850919091
충청북도,청전동,15272,2.746,96.3,99.4,99.1,5561.544064093227
충청북도,화산동,15089,12.038,77.2,88.9,88.6,1253.447416514371
충청북도,보은읍,14834,62.316,81.7,94.4,94.4,238.0448039026895
충청북도,속리산면,1776,92.19,72.0,76.3,76.3,19.264562316954116
충청북도,장안면,1387,29.86,83.2,83.2,83.2,46.45010046885466
충청북도,마로면,2100,68.47,57.6,71.7,71.7,30.67036658390536
충청북도,탄부면,1573,31.61,62.3,72.9,72.9,49.762733312242965
충청북도,삼승면,2373,28.28,75.7,81.0,81.0,83.9108910891089
충청북도,수한면,1820,48.77,56.2,56.2,56.2,37.318023375025625
충청북도,회남면,723,46.556,75.7,75.7,75.7,15.529684680814503
충청북도,회인면,1709,54.07,36.6,66.1,66.1,31.607175883114483
충청북도,내북면,1641,63.45,43.1,59.0,59.0,25.8628841607565
충청북도,산외면,1702,58.69,30.8,48.3,48.3,28.999829613222015
충청북도,옥천읍,28805,53.385,99.9,99.9,99.1,539.5710405544629
충청북도,동이면,3298,59.375,93.9,93.9,93.9,55.54526315789474
충청북도,안남면,1362,31.336,55.7,62.2,62.2,43.46438600970131
충청북도,안내면,1948,63.756,65.7,70.0,70.0,30.553987075726205
충청북도,청성면,2309,83.491,26.5,38.5,38.5,27.655675462025847
충청북도,청산면,2932,70.278,83.5,83.5,83.5,41.72002618173539
충청북도,이원면,4047,66.294,94.3,95.3,95.3,61.04624852927867
충청북도,군서면,2134,46.018,71.0,71.0,71.0,46.37315832934939
충청북도,군북면,2963,63.35,88.6,88.6,88.6,46.77190213101815
충청북도,영동읍,20535,100.68,88.9,89.9,89.9,203.96305125148984
충청북도,용산면,3246,66.98,69.3,70.4,70.4,48.46222753060615
충청북도,황간면,3986,90.12,71.6,78.2,78.2,44.22991566799822
충청북도,추풍령면,2168,55.23,63.0,81.3,81.3,39.25402860764078
충청북도,매곡면,1837,45.2,27.9,70.9,70.9,40.64159292035398
충청북도,상촌면,2165,138.36,54.8,68.9,68.9,15.647586007516622
충청북도,양강면,3001,81.98,82.2,83.5,83.5,36.60648938765552
충청북도,용화면,948,59.6,70.3,70.3,70.3,15.906040268456376
충청북도,학산면,2659,73.707,72.8,81.5,81.5,36.0752710054676
충청북도,양산면,1758,57.23,72.5,77.6,77.6,30.71815481390879
충청북도,심천면,2978,77.82,59.2,79.3,79.3,38.26779748136726
충청북도,증평읍,36714,55.383,96.3,99.2,99.2,662.9110015708791
충청북도,도안면,1854,26.42,59.5,73.4,73.4,70.17411052233156
충청북도,진천읍,32304,70.593,94.0,94.0,94.0,457.6091113849815
충청북도,덕산읍,32519,35.1,91.3,91.3,91.3,926.4672364672364
충청북도,초평면,3240,76.36,78.0,78.5,78.5,42.43059193294919
충청북도,문백면,3887,60.19,59.7,59.7,59.7,64.57883369330453
충청북도,백곡면,2180,80.071,0.0,0.0,0.0,27.22583706960073
충청북도,이월면,7796,55.2,72.7,72.7,72.7,141.231884057971
충청북도,광혜원면,11816,29.87,89.3,89.3,89.3,395.5808503515233
충청북도,괴산읍,9467,49.122,97.4,97.4,97.4,192.72423761247506
충청북도,감물면,2138,42.77,43.7,43.7,38.9,49.988309562777644
충청북도,장연면,2007,61.403,18.5,33.7,23.2,32.68569939579499
충청북도,연풍면,2341,93.28,48.2,48.2,37.9,25.096483704974272
충청북도,칠성면,3214,101.774,38.7,38.7,38.7,31.579774795134316
충청북도,문광면,2281,56.03,24.4,29.1,29.1,40.71033374977691
