시도명,시군구명,읍면동명,행정동코드,사회취약지수
서울특별시,송파구,장지동,1171064600,29.199238888808825
서울특별시,송파구,위례동,1171064700,29.57376075505662
서울특별시,강동구,명일1동,1174053000,33.58971567811564
서울특별시,강동구,명일2동,1174054000,32.35034755507839
서울특별시,강동구,고덕1동,1174055000,33.74547771119387
서울특별시,강동구,고덕2동,1174056000,33.212247847105345
서울특별시,강동구,암사2동,1174058000,31.266421707294175
서울특별시,강동구,암사3동,1174059000,36.041628276023616
서울특별시,강동구,천호1동,1174060000,34.20627778326963
서울특별시,강동구,천호3동,1174062000,25.595132324506125
서울특별시,강동구,성내1동,1174064000,29.000144657763894
서울특별시,강동구,성내2동,1174065000,27.74993832708093
서울특별시,강동구,성내3동,1174066000,28.06196569025696
서울특별시,강동구,둔촌1동,1174069000,27.063597161632995
서울특별시,강동구,둔촌2동,1174070000,33.17369164750723
서울특별시,강동구,암사1동,1174057000,31.03527517301995
서울특별시,강동구,천호2동,1174061000,30.027075433361844
서울특별시,강동구,길동,1174068500,29.132917556651964
서울특별시,강동구,강일동,1174051500,36.39078062977028
서울특별시,강동구,상일1동,1174052500,33.69840161345487
서울특별시,강동구,상일2동,1174052600,32.50126251297666
부산광역시,중구,중앙동,2611051000,30.147595353693845
부산광역시,중구,동광동,2611052000,56.70184917832831
부산광역시,중구,대청동,2611053000,42.50483893331409
부산광역시,중구,보수동,2611054500,42.212592084477635
부산광역시,중구,부평동,2611056000,51.60700437722233
부산광역시,중구,광복동,2611057000,56.20452528933736
부산광역시,중구,남포동,2611058000,56.38551658572699
부산광역시,중구,영주1동,2611059000,39.07931288795724
부산광역시,중구,영주2동,2611060000,54.08626208169483
부산광역시,서구,동대신1동,2614051000,43.691302771644814
부산광역시,서구,동대신2동,2614052000,55.28796713994025
부산광역시,서구,동대신3동,2614053000,41.657572922462265
부산광역시,서구,서대신1동,2614054000,37.718289943709934
부산광역시,서구,서대신3동,2614056000,39.08529289499245
부산광역시,서구,서대신4동,2614057000,41.41547063827093
부산광역시,서구,부민동,2614059000,29.254365984705544
부산광역시,서구,아미동,2614061500,53.387897772097624
부산광역시,서구,초장동,2614063000,61.565497944245486
부산광역시,서구,충무동,2614064000,42.96450056372909
부산광역시,서구,남부민1동,2614065000,60.05529656326313
부산광역시,서구,암남동,2614068000,42.42824503089549
부산광역시,서구,남부민2동,2614066000,59.74495703557562
부산광역시,동구,초량1동,2617051000,43.646479408786945
부산광역시,동구,초량2동,2617052000,54.13900605877212
부산광역시,동구,초량3동,2617053000,30.40021292920125
부산광역시,동구,초량6동,2617055000,58.26488959232328
부산광역시,동구,수정1동,2617056000,47.91536042928241
부산광역시,동구,수정2동,2617057000,48.83366399089121
부산광역시,동구,수정4동,2617059000,66.67570155727618
부산광역시,동구,수정5동,2617060000,58.54526621016654
부산광역시,동구,범일2동,2617066000,35.436034605700776
부산광역시,동구,범일5동,2617068000,29.16086332500659
부산광역시,동구,좌천동,2617064500,48.28562866251362
부산광역시,동구,범일1동,2617065000,54.99184139089994
부산광역시,영도구,남항동,2620053000,57.74782550624228
부산광역시,영도구,영선1동,2620054000,56.51923107083447
부산광역시,영도구,영선2동,2620055000,55.08667857692644
부산광역시,영도구,봉래1동,2620059000,54.74742202522178
부산광역시,영도구,청학1동,2620063000,53.53086686785612
부산광역시,영도구,청학2동,2620064000,49.07722083498492
부산광역시,영도구,동삼1동,2620065000,42.96742497630936
부산광역시,영도구,동삼2동,2620066000,16.497755343872313
부산광역시,영도구,동삼3동,2620067000,60.31112476623803
부산광역시,영도구,신선동,2620058500,63.454164654890576
부산광역시,영도구,봉래2동,2620060500,49.62497322345962
부산광역시,부산진구,부전2동,2623052000,15.250763981164061
부산광역시,부산진구,연지동,2623054000,42.103155150492285
부산광역시,부산진구,초읍동,2623055000,50.28565918211137
부산광역시,부산진구,양정1동,2623056000,33.541651852393755
부산광역시,부산진구,양정2동,2623057000,25.08591095673067
부산광역시,부산진구,전포2동,2623061000,34.807999248630104
부산광역시,부산진구,부암1동,2623064000,34.70623132232767
부산광역시,부산진구,부암3동,2623066000,34.7886487837988
부산광역시,부산진구,당감2동,2623068000,39.2202711778834
부산광역시,부산진구,당감4동,2623070000,40.4757186680928
부산광역시,부산진구,가야2동,2623072000,41.454703175587646
부산광역시,부산진구,개금1동,2623074000,27.740265200944414
부산광역시,부산진구,개금2동,2623075000,42.802948491941386
부산광역시,부산진구,개금3동,2623076000,40.059802722527984
부산광역시,부산진구,범천1동,2623077000,24.076470882864022
부산광역시,부산진구,당감제1동,2623067000,40.676116710492934
부산광역시,부산진구,가야제1동,2623071000,29.613921166789943
부산광역시,부산진구,부전1동,2623051000,21.03421633159143
부산광역시,부산진구,전포1동,2623060000,20.545398457635603
부산광역시,부산진구,범천2동,2623078000,39.13037419763177
부산광역시,동래구,수민동,2626051000,41.88898166070311
부산광역시,동래구,복산동,2626052000,55.89772596099027
