시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도,인구밀도_정규화,하수도_인프라_지수,인프라_등급
전라북도,효자2동,9603,0.84,87.6,100.0,100.0,11432.142857142857,24.797476759628154,81.23949535192563,높음
전라북도,효자3동,14125,2.43,85.7,100.0,100.0,5812.75720164609,12.608459622871111,78.23169192457424,보통
전라북도,효자4동,36722,7.81,74.2,98.7,98.7,4701.920614596671,10.198942457513805,73.64978849150278,보통
전라북도,효자5동,36492,6.27,97.9,100.0,100.0,5820.095693779905,12.624377556229097,81.89487551124583,높음
전라북도,진북동,13484,1.66,93.5,100.0,100.0,8122.891566265061,17.619375243337227,81.57387504866745,높음
전라북도,인후1동,18906,1.27,95.5,100.0,100.0,14886.614173228349,32.29057523188088,85.10811504637618,높음
전라북도,인후2동,10863,1.217,100.0,100.0,100.0,8926.047658175841,19.361502224462868,83.87230044489257,높음
전라북도,인후3동,31209,1.66,93.1,100.0,100.0,18800.602409638555,40.780412486599786,86.08608249731995,높음
전라북도,덕진동,20665,4.3,90.1,100.0,100.0,4805.813953488372,10.424297641475441,79.11485952829509,보통
전라북도,금암1동,7778,1.27,94.3,100.0,100.0,6124.4094488188975,13.284464939890482,80.94689298797809,높음
전라북도,금암2동,9595,1.25,96.1,100.0,100.0,7676.0,16.65002213368747,82.16000442673749,높음
전라북도,팔복동,7682,7.38,93.1,100.0,99.9,1040.921409214092,2.2578640571708943,78.36157281143417,보통
전라북도,우아1동,11541,1.44,95.4,100.0,100.0,8014.583333333334,17.384443706654864,82.09688874133097,높음
전라북도,우아2동,14276,22.57,84.2,95.4,95.3,632.5210456357997,1.372002268090048,73.21440045361801,보통
전라북도,호성동,20466,7.6,90.1,97.6,97.6,2692.894736842105,5.841161669113021,76.9982323338226,보통
전라북도,송천1동,63716,4.79,89.9,100.0,100.0,13301.87891440501,28.85312380725301,82.7406247614506,높음
전라북도,송천2동,27654,12.14,98.9,100.0,100.0,2277.9242174629326,4.941048546068335,80.65820970921366,높음
전라북도,조촌동,12397,24.26,91.4,91.4,91.2,511.0057708161583,1.1084233187247348,73.30168466374496,보통
전라북도,여의동,29781,15.25,98.5,100.0,99.9,1952.8524590163931,4.23593494872967,80.37718698974594,높음
전라북도,혁신동,29773,3.3,99.9,100.0,100.0,9022.121212121212,19.569895502166418,83.88397910043328,높음
