재난,발생시간,지점정보
호우주의보,2020-07-31 02:00,금산(238)
호우주의보,2020-07-31 04:30,군산(140)
호우주의보,2020-07-31 05:20,남원(247)
호우주의보,2020-07-31 06:00,고창(172)
호우주의보,2020-07-31 08:30,고창(172)
호우주의보,2020-07-31 09:20,서산(129)
호우주의보,2020-07-31 11:00,안동(136)
호우주의보,2020-07-31 12:20,서산(129)
호우주의보,2020-07-31 17:50,대전(133)
호우주의보,2020-07-31 19:00,대전(133)
호우주의보,2020-07-31 21:35,인천(112)
호우주의보,2020-07-31 22:00,인천(112)
호우주의보,2020-07-31 22:10,파주(99)
호우주의보,2020-07-31 23:30,서울(108)
호우주의보,2020-08-01 03:00,원주(114)
호우주의보,2020-08-01 04:40,원주(114)
호우주의보,2020-08-01 08:00,동두천(98)
호우주의보,2020-08-01 10:00,철원(95)
호우경보,2020-08-01 09:00,파주(99)
호우주의보,2020-08-01 10:30,춘천(101)
호우주의보,2020-08-01 11:00,서울(108)
호우주의보,2020-08-01 12:00,군산(140)
호우주의보,2020-08-01 15:00,원주(114)
호우경보,2020-08-01 13:10,서울(108)
호우주의보,2020-08-01 16:30,파주(99)
호우주의보,2020-08-01 17:30,군산(140)
호우주의보,2020-08-01 22:00,충주(127)
호우주의보,2020-08-01 23:00,영월(121)
호우경보,2020-08-02 01:00,청주(131)
호우주의보,2020-08-02 01:50,부산(159)
호우경보,2020-08-02 02:10,영월(121)
호우주의보,2020-08-02 02:50,문경(273)
호우경보,2020-08-02 03:40,충주(127)
호우경보,2020-08-02 04:00,부산(159)
호우주의보,2020-08-02 04:50,울진(130)
호우경보,2020-08-02 06:10,영주(272)
호우경보,2020-08-02 14:00,파주(99)
호우주의보,2020-08-02 15:00,철원(95)
호우주의보,2020-08-03 00:00,부산(159)
호우주의보,2020-08-03 06:00,울릉도(115)
호우경보,2020-08-03 08:00,홍성(177)
호우주의보,2020-08-03 10:00,대전(133)
호우경보,2020-08-03 11:00,인천(112)
호우경보,2020-08-03 13:00,보령(235)
호우경보,2020-08-03 14:00,부여(236)
호우주의보,2020-08-04 10:00,속초(90)
호우주의보,2020-08-04 12:30,강릉(105)
호우경보,2020-08-04 13:30,속초(90)
호우주의보,2020-08-04 18:20,보은(226)
호우경보,2020-08-04 18:40,대전(133)
호우주의보,2020-08-04 19:00,안동(136)
호우주의보,2020-08-05 09:00,제주(184)
호우주의보,2020-08-05 09:00,제주(184)
호우주의보,2020-08-05 10:20,광주(156)
호우주의보,2020-08-05 10:30,임실(244)
호우주의보,2020-08-05 12:00,전주(146)
호우주의보,2020-08-05 12:30,제주(184)
호우주의보,2020-08-05 12:40,부안(243)
호우주의보,2020-08-05 13:30,광주(156)
호우주의보,2020-08-05 16:00,울릉도(115)
호우주의보,2020-08-05 18:00,남원(247)
호우주의보,2020-08-05 20:30,제주(184)
호우주의보,2020-08-05 21:50,산청(289)
호우주의보,2020-08-06 02:20,합천(285)
호우주의보,2020-08-06 07:40,제주(184)
호우주의보,2020-08-06 09:15,장수(248)
호우경보,2020-08-06 10:05,장수(248)
호우주의보,2020-08-06 10:10,거창(284)
호우주의보,2020-08-06 10:50,제주(184)
호우주의보,2020-08-06 11:00,속초(90)
호우경보,2020-08-06 12:00,장수(248)
호우주의보,2020-08-06 12:30,원주(114)
호우주의보,2020-08-06 13:30,거창(284)
호우주의보,2020-08-06 14:00,제주(184)
호우주의보,2020-08-07 03:30,울산(152)
호우경보,2020-08-07 03:50,울산(152)
호우주의보,2020-08-07 04:00,광주(156)
호우주의보,2020-08-07 05:30,거창(284)
호우주의보,2020-08-07 06:10,울산(152)
호우주의보,2020-08-07 07:00,대구(143)
호우주의보,2020-08-07 08:20,진주(192)
